"Date","Open","High","Low","Close","Volume","Open Interest","Ticker"
"11091989","77.33270","77.33270","77.33270","77.33270","0","0","$SPXD"
"12091989","77.33375","77.33375","77.33375","77.33375","0","0","$SPXD"
"13091989","76.31528","76.31528","76.31528","76.31528","0","0","$SPXD"
"14091989","75.53429","75.53429","75.53429","75.53429","0","0","$SPXD"
"15091989","75.66320","75.66320","75.66320","75.66320","0","0","$SPXD"
"18091989","75.87835","75.87835","75.87835","75.87835","0","0","$SPXD"
"19091989","75.94979","75.94979","75.94979","75.94979","0","0","$SPXD"
"20091989","75.62756","75.62756","75.62756","75.62756","0","0","$SPXD"
"21091989","75.39857","75.39857","75.39857","75.39857","0","0","$SPXD"
"22091989","75.55118","75.55118","75.55118","75.55118","0","0","$SPXD"
"25091989","74.96136","74.96136","74.96136","74.96136","0","0","$SPXD"
"26091989","75.37315","75.37315","75.37315","75.37315","0","0","$SPXD"
"27091989","75.55547","75.55547","75.55547","75.55547","0","0","$SPXD"
"28091989","76.16118","76.16118","76.16118","76.16118","0","0","$SPXD"
"29091989","75.86227","75.86227","75.86227","75.86227","0","0","$SPXD"
"02101989","76.43678","76.43678","76.43678","76.43678","0","0","$SPXD"
"03101989","77.36411","77.36411","77.36411","77.36411","0","0","$SPXD"
"04101989","77.71349","77.71349","77.71349","77.71349","0","0","$SPXD"
"05101989","77.64108","77.64108","77.64108","77.64108","0","0","$SPXD"
"06101989","77.89039","77.89039","77.89039","77.89039","0","0","$SPXD"
"09101989","78.22172","78.22172","78.22172","78.22172","0","0","$SPXD"
"10101989","78.06794","78.06794","78.06794","78.06794","0","0","$SPXD"
"11101989","77.53305","77.53305","77.53305","77.53305","0","0","$SPXD"
"12101989","76.96156","76.96156","76.96156","76.96156","0","0","$SPXD"
"13101989","72.14867","72.14867","72.14867","72.14867","0","0","$SPXD"
"16101989","74.04041","74.04041","74.04041","74.04041","0","0","$SPXD"
"17101989","73.32600","73.32600","73.32600","73.32600","0","0","$SPXD"
"18101989","73.30080","73.30080","73.30080","73.30080","0","0","$SPXD"
"19101989","74.63287","74.63287","74.63287","74.63287","0","0","$SPXD"
