"Date","Open","High","Low","Close","Volume","Open Interest","Ticker"
"11091989","72.98000","72.98000","72.98000","72.98000","0","0","$SPXT"
"12091989","73.62000","73.62000","73.62000","73.62000","0","0","$SPXT"
"13091989","73.01000","73.01000","73.01000","73.01000","0","0","$SPXT"
"14091989","72.78000","72.78000","72.78000","72.78000","0","0","$SPXT"
"15091989","73.14000","73.14000","73.14000","73.14000","0","0","$SPXT"
"18091989","73.02000","73.02000","73.02000","73.02000","0","0","$SPXT"
"19091989","72.56000","72.56000","72.56000","72.56000","0","0","$SPXT"
"20091989","72.81000","72.81000","72.81000","72.81000","0","0","$SPXT"
"21091989","72.95000","72.95000","72.95000","72.95000","0","0","$SPXT"
"22091989","73.11000","73.11000","73.11000","73.11000","0","0","$SPXT"
"25091989","73.00000","73.00000","73.00000","73.00000","0","0","$SPXT"
"26091989","73.29000","73.29000","73.29000","73.29000","0","0","$SPXT"
"27091989","71.43000","71.43000","71.43000","71.43000","0","0","$SPXT"
"28091989","70.72000","70.72000","70.72000","70.72000","0","0","$SPXT"
"29091989","70.68000","70.68000","70.68000","70.68000","0","0","$SPXT"
"02101989","70.42000","70.42000","70.42000","70.42000","0","0","$SPXT"
"03101989","69.44000","69.44000","69.44000","69.44000","0","0","$SPXT"
"04101989","70.61000","70.61000","70.61000","70.61000","0","0","$SPXT"
"05101989","70.90000","70.90000","70.90000","70.90000","0","0","$SPXT"
"06101989","71.27000","71.27000","71.27000","71.27000","0","0","$SPXT"
"09101989","72.56000","72.56000","72.56000","72.56000","0","0","$SPXT"
"10101989","72.32000","72.32000","72.32000","72.32000","0","0","$SPXT"
"11101989","71.76000","71.76000","71.76000","71.76000","0","0","$SPXT"
"12101989","71.59000","71.59000","71.59000","71.59000","0","0","$SPXT"
"13101989","67.12000","67.12000","67.12000","67.12000","0","0","$SPXT"
"16101989","68.89000","68.89000","68.89000","68.89000","0","0","$SPXT"
"17101989","68.56000","68.56000","68.56000","68.56000","0","0","$SPXT"
"18101989","68.80000","68.80000","68.80000","68.80000","0","0","$SPXT"
"19101989","70.35000","70.35000","70.35000","70.35000","0","0","$SPXT"
"20101989","70.11000","70.11000","70.11000","70.11000","0","0","$SPXT"
"23101989","69.41000","69.41000","69.41000","69.41000","0","0","$SPXT"
"24101989","69.37000","69.37000","69.37000","69.37000","0","0","$SPXT"
"25101989","68.73000","68.73000","68.73000","68.73000","0","0","$SPXT"
"26101989","67.40000","67.40000","67.40000","67.40000","0","0","$SPXT"
"27101989","66.88000","66.88000","66.88000","66.88000","0","0","$SPXT"
"30101989","66.53000","66.53000","66.53000","66.53000","0","0","$SPXT"
"31101989","67.58000","67.58000","67.58000","67.58000","0","0","$SPXT"
"01111989","67.51000","67.51000","67.51000","67.51000","0","0","$SPXT"
"02111989","65.48000","65.48000","65.48000","65.48000","0","0","$SPXT"
"03111989","65.06000","65.06000","65.06000","65.06000","0","0","$SPXT"
"06111989","63.90000","63.90000","63.90000","63.90000","0","0","$SPXT"
"07111989","64.76000","64.76000","64.76000","64.76000","0","0","$SPXT"
"08111989","64.65000","64.65000","64.65000","64.65000","0","0","$SPXT"
"09111989","64.82000","64.82000","64.82000","64.82000","0","0","$SPXT"
"10111989","65.41000","65.41000","65.41000","65.41000","0","0","$SPXT"
"13111989","65.13000","65.13000","65.13000","65.13000","0","0","$SPXT"
"14111989","64.90000","64.90000","64.90000","64.90000","0","0","$SPXT"
"15111989","65.10000","65.10000","65.10000","65.10000","0","0","$SPXT"
"16111989","65.11000","65.11000","65.11000","65.11000","0","0","$SPXT"
"17111989","66.31000","66.31000","66.31000","66.31000","0","0","$SPXT"
"20111989","65.98000","65.98000","65.98000","65.98000","0","0","$SPXT"
"21111989","66.23000","66.23000","66.23000","66.23000","0","0","$SPXT"
"22111989","66.75000","66.75000","66.75000","66.75000","0","0","$SPXT"
"24111989","67.16000","67.16000","67.16000","67.16000","0","0","$SPXT"
"27111989","66.88000","66.88000","66.88000","66.88000","0","0","$SPXT"
"28111989","66.30000","66.30000","66.30000","66.30000","0","0","$SPXT"
"29111989","65.84000","65.84000","65.84000","65.84000","0","0","$SPXT"
"30111989","66.21000","66.21000","66.21000","66.21000","0","0","$SPXT"
"01121989","66.31000","66.31000","66.31000","66.31000","0","0","$SPXT"
"04121989","67.34000","67.34000","67.34000","67.34000","0","0","$SPXT"
"05121989","67.19000","67.19000","67.19000","67.19000","0","0","$SPXT"
"06121989","66.58000","66.58000","66.58000","66.58000","0","0","$SPXT"
"07121989","66.28000","66.28000","66.28000","66.28000","0","0","$SPXT"
"08121989","65.71000","65.71000","65.71000","65.71000","0","0","$SPXT"
"11121989","64.83000","64.83000","64.83000","64.83000","0","0","$SPXT"
"12121989","64.92000","64.92000","64.92000","64.92000","0","0","$SPXT"
"13121989","64.48000","64.48000","64.48000","64.48000","0","0","$SPXT"
"14121989","63.88000","63.88000","63.88000","63.88000","0","0","$SPXT"
"15121989","63.60000","63.60000","63.60000","63.60000","0","0","$SPXT"
"18121989","62.85000","62.85000","62.85000","62.85000","0","0","$SPXT"
"19121989","63.66000","63.66000","63.66000","63.66000","0","0","$SPXT"
"20121989","63.76000","63.76000","63.76000","63.76000","0","0","$SPXT"
"21121989","64.23000","64.23000","64.23000","64.23000","0","0","$SPXT"
"22121989","64.59000","64.59000","64.59000","64.59000","0","0","$SPXT"
"26121989","64.21000","64.21000","64.21000","64.21000","0","0","$SPXT"
"27121989","64.56000","64.56000","64.56000","64.56000","0","0","$SPXT"
"28121989","64.30000","64.30000","64.30000","64.30000","0","0","$SPXT"
"29121989","64.79000","64.79000","64.79000","64.79000","0","0","$SPXT"
"02011990","67.24000","67.24000","67.24000","67.24000","0","0","$SPXT"
"03011990","67.38000","67.38000","67.38000","67.38000","0","0","$SPXT"
"04011990","67.73000","67.73000","67.73000","67.73000","0","0","$SPXT"
"05011990","67.36000","67.36000","67.36000","67.36000","0","0","$SPXT"
"08011990","67.85000","67.85000","67.85000","67.85000","0","0","$SPXT"
"09011990","67.28000","67.28000","67.28000","67.28000","0","0","$SPXT"
"10011990","66.66000","66.66000","66.66000","66.66000","0","0","$SPXT"
"11011990","66.89000","66.89000","66.89000","66.89000","0","0","$SPXT"
"12011990","65.35000","65.35000","65.35000","65.35000","0","0","$SPXT"
"15011990","65.27000","65.27000","65.27000","65.27000","0","0","$SPXT"
"16011990","67.14000","67.14000","67.14000","67.14000","0","0","$SPXT"
"17011990","66.34000","66.34000","66.34000","66.34000","0","0","$SPXT"
"18011990","65.98000","65.98000","65.98000","65.98000","0","0","$SPXT"
"19011990","65.55000","65.55000","65.55000","65.55000","0","0","$SPXT"
"22011990","64.19000","64.19000","64.19000","64.19000","0","0","$SPXT"
"23011990","64.79000","64.79000","64.79000","64.79000","0","0","$SPXT"
"24011990","64.93000","64.93000","64.93000","64.93000","0","0","$SPXT"
"25011990","64.29000","64.29000","64.29000","64.29000","0","0","$SPXT"
"26011990","64.34000","64.34000","64.34000","64.34000","0","0","$SPXT"
"29011990","64.35000","64.35000","64.35000","64.35000","0","0","$SPXT"
"30011990","64.26000","64.26000","64.26000","64.26000","0","0","$SPXT"
"31011990","65.28000","65.28000","65.28000","65.28000","0","0","$SPXT"
"01021990","65.04000","65.04000","65.04000","65.04000","0","0","$SPXT"
"02021990","65.35000","65.35000","65.35000","65.35000","0","0","$SPXT"
"05021990","66.10000","66.10000","66.10000","66.10000","0","0","$SPXT"
"06021990","66.40000","66.40000","66.40000","66.40000","0","0","$SPXT"
"07021990","67.93000","67.93000","67.93000","67.93000","0","0","$SPXT"
"08021990","67.83000","67.83000","67.83000","67.83000","0","0","$SPXT"
"09021990","67.84000","67.84000","67.84000","67.84000","0","0","$SPXT"
"12021990","66.88000","66.88000","66.88000","66.88000","0","0","$SPXT"
"13021990","67.68000","67.68000","67.68000","67.68000","0","0","$SPXT"
"14021990","68.02000","68.02000","68.02000","68.02000","0","0","$SPXT"
"15021990","68.13000","68.13000","68.13000","68.13000","0","0","$SPXT"
"16021990","67.18000","67.18000","67.18000","67.18000","0","0","$SPXT"
"20021990","66.31000","66.31000","66.31000","66.31000","0","0","$SPXT"
"21021990","66.78000","66.78000","66.78000","66.78000","0","0","$SPXT"
"22021990","66.11000","66.11000","66.11000","66.11000","0","0","$SPXT"
"23021990","65.61000","65.61000","65.61000","65.61000","0","0","$SPXT"
"26021990","66.67000","66.67000","66.67000","66.67000","0","0","$SPXT"
"27021990","66.85000","66.85000","66.85000","66.85000","0","0","$SPXT"
"28021990","67.64000","67.64000","67.64000","67.64000","0","0","$SPXT"
"01031990","67.48000","67.48000","67.48000","67.48000","0","0","$SPXT"
"02031990","68.43000","68.43000","68.43000","68.43000","0","0","$SPXT"
"05031990","68.36000","68.36000","68.36000","68.36000","0","0","$SPXT"
"06031990","69.03000","69.03000","69.03000","69.03000","0","0","$SPXT"
"07031990","69.25000","69.25000","69.25000","69.25000","0","0","$SPXT"
"08031990","70.45000","70.45000","70.45000","70.45000","0","0","$SPXT"
"09031990","70.22000","70.22000","70.22000","70.22000","0","0","$SPXT"
