"Date","Open","High","Low","Close","Volume","Open Interest","Ticker"
"11091989","80.02057","80.02057","80.02057","80.02057","0","0","$SPXM"
"12091989","80.08419","80.08419","80.08419","80.08419","0","0","$SPXM"
"13091989","79.39633","79.39633","79.39633","79.39633","0","0","$SPXM"
"14091989","78.87710","78.87710","78.87710","78.87710","0","0","$SPXM"
"15091989","79.10560","79.10560","79.10560","79.10560","0","0","$SPXM"
"18091989","79.19695","79.19695","79.19695","79.19695","0","0","$SPXM"
"19091989","79.04919","79.04919","79.04919","79.04919","0","0","$SPXM"
"20091989","79.21879","79.21879","79.21879","79.21879","0","0","$SPXM"
"21091989","78.81007","78.81007","78.81007","78.81007","0","0","$SPXM"
"22091989","78.89774","78.89774","78.89774","78.89774","0","0","$SPXM"
"25091989","78.30829","78.30829","78.30829","78.30829","0","0","$SPXM"
"26091989","78.04512","78.04512","78.04512","78.04512","0","0","$SPXM"
"27091989","78.14186","78.14186","78.14186","78.14186","0","0","$SPXM"
"28091989","78.54333","78.54333","78.54333","78.54333","0","0","$SPXM"
"29091989","78.79694","78.79694","78.79694","78.79694","0","0","$SPXM"
"02101989","79.50922","79.50922","79.50922","79.50922","0","0","$SPXM"
"03101989","80.43179","80.43179","80.43179","80.43179","0","0","$SPXM"
"04101989","80.71263","80.71263","80.71263","80.71263","0","0","$SPXM"
"05101989","80.24540","80.24540","80.24540","80.24540","0","0","$SPXM"
"06101989","80.00392","80.00392","80.00392","80.00392","0","0","$SPXM"
"09101989","79.95090","79.95090","79.95090","79.95090","0","0","$SPXM"
"10101989","79.93412","79.93412","79.93412","79.93412","0","0","$SPXM"
"11101989","79.33559","79.33559","79.33559","79.33559","0","0","$SPXM"
"12101989","79.06532","79.06532","79.06532","79.06532","0","0","$SPXM"
"13101989","74.27625","74.27625","74.27625","74.27625","0","0","$SPXM"
"16101989","75.61756","75.61756","75.61756","75.61756","0","0","$SPXM"
"17101989","74.74860","74.74860","74.74860","74.74860","0","0","$SPXM"
"18101989","74.94785","74.94785","74.94785","74.94785","0","0","$SPXM"
"19101989","75.96153","75.96153","75.96153","75.96153","0","0","$SPXM"
"20101989","75.55458","75.55458","75.55458","75.55458","0","0","$SPXM"
"23101989","74.73048","74.73048","74.73048","74.73048","0","0","$SPXM"
"24101989","74.08378","74.08378","74.08378","74.08378","0","0","$SPXM"
"25101989","73.91164","73.91164","73.91164","73.91164","0","0","$SPXM"
"26101989","73.13731","73.13731","73.13731","73.13731","0","0","$SPXM"
"27101989","72.93671","72.93671","72.93671","72.93671","0","0","$SPXM"
"30101989","72.89418","72.89418","72.89418","72.89418","0","0","$SPXM"
"31101989","74.47409","74.47409","74.47409","74.47409","0","0","$SPXM"
"01111989","74.50863","74.50863","74.50863","74.50863","0","0","$SPXM"
"02111989","74.23152","74.23152","74.23152","74.23152","0","0","$SPXM"
"03111989","74.09729","74.09729","74.09729","74.09729","0","0","$SPXM"
"06111989","72.99527","72.99527","72.99527","72.99527","0","0","$SPXM"
"07111989","73.40417","73.40417","73.40417","73.40417","0","0","$SPXM"
"08111989","73.63459","73.63459","73.63459","73.63459","0","0","$SPXM"
"09111989","72.92646","72.92646","72.92646","72.92646","0","0","$SPXM"
"10111989","73.35853","73.35853","73.35853","73.35853","0","0","$SPXM"
"13111989","73.81725","73.81725","73.81725","73.81725","0","0","$SPXM"
"14111989","73.65965","73.65965","73.65965","73.65965","0","0","$SPXM"
"15111989","74.04124","74.04124","74.04124","74.04124","0","0","$SPXM"
"16111989","74.05426","74.05426","74.05426","74.05426","0","0","$SPXM"
"17111989","74.19070","74.19070","74.19070","74.19070","0","0","$SPXM"
"20111989","73.88413","73.88413","73.88413","73.88413","0","0","$SPXM"
"21111989","74.13301","74.13301","74.13301","74.13301","0","0","$SPXM"
"22111989","74.33217","74.33217","74.33217","74.33217","0","0","$SPXM"
"24111989","74.83261","74.83261","74.83261","74.83261","0","0","$SPXM"
"27111989","75.39548","75.39548","75.39548","75.39548","0","0","$SPXM"
