"Date","Open","High","Low","Close","Volume","Open Interest","Ticker"
"09102001","100.00000","100.00000","100.00000","100.00000","600000","0","$SPXR"
"10102001","99.19000","99.19000","99.19000","99.19000","3900000","0","$SPXR"
"11102001","99.74000","99.74000","99.74000","99.74000","3300000","0","$SPXR"
"12102001","99.48000","99.48000","99.48000","99.48000","2400000","0","$SPXR"
"15102001","100.00000","100.00000","100.00000","100.00000","1800000","0","$SPXR"
"16102001","98.37000","98.37000","98.37000","98.37000","2700000","0","$SPXR"
"17102001","97.24000","97.24000","97.24000","97.24000","2200000","0","$SPXR"
"18102001","96.78000","96.78000","96.78000","96.78000","2400000","0","$SPXR"
"19102001","94.28000","94.28000","94.28000","94.28000","3500000","0","$SPXR"
"22102001","91.84000","91.84000","91.84000","91.84000","4400000","0","$SPXR"
"23102001","91.35000","91.35000","91.35000","91.35000","3100000","0","$SPXR"
"24102001","88.23000","88.23000","88.23000","88.23000","3500000","0","$SPXR"
"25102001","89.04000","89.04000","89.04000","89.04000","2300000","0","$SPXR"
"26102001","88.59000","88.59000","88.59000","88.59000","1500000","0","$SPXR"
"29102001","90.57000","90.57000","90.57000","90.57000","2100000","0","$SPXR"
"30102001","91.90000","91.90000","91.90000","91.90000","2800000","0","$SPXR"
"31102001","92.68000","92.68000","92.68000","92.68000","3200000","0","$SPXR"
"01112001","94.15000","94.15000","94.15000","94.15000","2600000","0","$SPXR"
"02112001","91.67000","91.67000","91.67000","91.67000","1800000","0","$SPXR"
"05112001","92.72000","92.72000","92.72000","92.72000","1800000","0","$SPXR"
"06112001","94.96000","94.96000","94.96000","94.96000","1500000","0","$SPXR"
"07112001","94.57000","94.57000","94.57000","94.57000","1800000","0","$SPXR"
"08112001","94.31000","94.31000","94.31000","94.31000","2100000","0","$SPXR"
"09112001","93.07000","93.07000","93.07000","93.07000","2000000","0","$SPXR"
"12112001","94.05000","94.05000","94.05000","94.05000","1600000","0","$SPXR"
"13112001","95.32000","95.32000","95.32000","95.32000","1900000","0","$SPXR"
"14112001","95.80000","95.80000","95.80000","95.80000","2200000","0","$SPXR"
"15112001","97.53000","97.53000","97.53000","97.53000","2100000","0","$SPXR"
"16112001","96.26000","96.26000","96.26000","96.26000","2000000","0","$SPXR"
"19112001","96.75000","96.75000","96.75000","96.75000","1900000","0","$SPXR"
"20112001","95.12000","95.12000","95.12000","95.12000","1500000","0","$SPXR"
"21112001","95.93000","95.93000","95.93000","95.93000","1100000","0","$SPXR"
"23112001","96.68000","96.68000","96.68000","96.68000","600000","0","$SPXR"
"26112001","96.55000","96.55000","96.55000","96.55000","1900000","0","$SPXR"
"27112001","95.80000","95.80000","95.80000","95.80000","1400000","0","$SPXR"
"28112001","95.35000","95.35000","95.35000","95.35000","1400000","0","$SPXR"
"29112001","96.59000","96.59000","96.59000","96.59000","1900000","0","$SPXR"
"30112001","96.91000","96.91000","96.91000","96.91000","2300000","0","$SPXR"
"03122001","95.60000","95.60000","95.60000","95.60000","5000000","0","$SPXR"
"04122001","97.14000","97.14000","97.14000","97.14000","4300000","0","$SPXR"
"05122001","97.08000","97.08000","97.08000","97.08000","5100000","0","$SPXR"
"06122001","97.57000","97.57000","97.57000","97.57000","4900000","0","$SPXR"
"07122001","97.83000","97.83000","97.83000","97.83000","3300000","0","$SPXR"
"10122001","96.91000","96.91000","96.91000","96.91000","3100000","0","$SPXR"
"11122001","97.58000","97.58000","97.58000","97.58000","3100000","0","$SPXR"
"12122001","95.55000","95.55000","95.55000","95.55000","2900000","0","$SPXR"
"13122001","94.32000","94.32000","94.32000","94.32000","4000000","0","$SPXR"
"14122001","95.38000","95.38000","95.38000","95.38000","3900000","0","$SPXR"
"17122001","96.39000","96.39000","96.39000","96.39000","3700000","0","$SPXR"
"18122001","96.20000","96.20000","96.20000","96.20000","4300000","0","$SPXR"
"19122001","95.35000","95.35000","95.35000","95.35000","3200000","0","$SPXR"
"20122001","95.29000","95.29000","95.29000","95.29000","4500000","0","$SPXR"
"21122001","95.62000","95.62000","95.62000","95.62000","5500000","0","$SPXR"
"24122001","96.42000","96.42000","96.42000","96.42000","900000","0","$SPXR"
"26122001","97.03000","97.03000","97.03000","97.03000","1900000","0","$SPXR"
"27122001","96.49000","96.49000","96.49000","96.49000","1900000","0","$SPXR"
"28122001","97.37000","97.37000","97.37000","97.37000","1800000","0","$SPXR"
"31122001","97.15000","97.15000","97.15000","97.15000","2100000","0","$SPXR"
"02012002","97.43000","97.43000","97.43000","97.43000","2900000","0","$SPXR"
"03012002","97.43000","98.31000","97.36000","98.16000","3000000","0","$SPXR"
"04012002","98.16000","98.16000","97.25000","97.58000","2200000","0","$SPXR"
"07012002","97.58000","97.93000","97.12000","97.37000","2700000","0","$SPXR"
"08012002","97.37000","97.50000","96.66000","96.92000","2600000","0","$SPXR"
"09012002","96.92000","97.25000","96.58000","96.67000","2700000","0","$SPXR"
"10012002","96.67000","96.73000","96.17000","96.37000","2600000","0","$SPXR"
"11012002","96.37000","96.86000","96.34000","96.44000","2800000","0","$SPXR"
"14012002","96.44000","97.01000","96.06000","97.01000","3800000","0","$SPXR"
"15012002","97.01000","97.25000","96.49000","96.67000","3100000","0","$SPXR"
"16012002","96.67000","97.11000","95.79000","96.02000","2400000","0","$SPXR"
"17012002","96.02000","96.02000","94.91000","95.38000","8900000","0","$SPXR"
