"Date","Open","High","Low","Close","Volume","Open Interest","Ticker"
"11091989","80.47030","80.47030","80.47030","80.47030","0","0","$SPXF"
"12091989","80.60987","80.60987","80.60987","80.60987","0","0","$SPXF"
"13091989","79.78165","79.78165","79.78165","79.78165","0","0","$SPXF"
"14091989","79.06234","79.06234","79.06234","79.06234","0","0","$SPXF"
"15091989","79.69896","79.69896","79.69896","79.69896","0","0","$SPXF"
"18091989","80.11231","80.11231","80.11231","80.11231","0","0","$SPXF"
"19091989","79.69160","79.69160","79.69160","79.69160","0","0","$SPXF"
"20091989","79.89310","79.89310","79.89310","79.89310","0","0","$SPXF"
"21091989","80.00010","80.00010","80.00010","80.00010","0","0","$SPXF"
"22091989","80.72348","80.72348","80.72348","80.72348","0","0","$SPXF"
"25091989","80.00352","80.00352","80.00352","80.00352","0","0","$SPXF"
"26091989","80.16560","80.16560","80.16560","80.16560","0","0","$SPXF"
"27091989","80.62579","80.62579","80.62579","80.62579","0","0","$SPXF"
"28091989","81.90778","81.90778","81.90778","81.90778","0","0","$SPXF"
"29091989","82.76286","82.76286","82.76286","82.76286","0","0","$SPXF"
"02101989","83.38599","83.38599","83.38599","83.38599","0","0","$SPXF"
"03101989","84.75782","84.75782","84.75782","84.75782","0","0","$SPXF"
"04101989","85.17762","85.17762","85.17762","85.17762","0","0","$SPXF"
"05101989","84.97489","84.97489","84.97489","84.97489","0","0","$SPXF"
"06101989","85.16444","85.16444","85.16444","85.16444","0","0","$SPXF"
"09101989","85.35020","85.35020","85.35020","85.35020","0","0","$SPXF"
"10101989","85.10094","85.10094","85.10094","85.10094","0","0","$SPXF"
"11101989","84.46336","84.46336","84.46336","84.46336","0","0","$SPXF"
"12101989","84.02342","84.02342","84.02342","84.02342","0","0","$SPXF"
"13101989","78.71900","78.71900","78.71900","78.71900","0","0","$SPXF"
"16101989","80.39141","80.39141","80.39141","80.39141","0","0","$SPXF"
"17101989","79.73251","79.73251","79.73251","79.73251","0","0","$SPXF"
"18101989","80.09127","80.09127","80.09127","80.09127","0","0","$SPXF"
"19101989","81.49593","81.49593","81.49593","81.49593","0","0","$SPXF"
"20101989","81.84541","81.84541","81.84541","81.84541","0","0","$SPXF"
"23101989","81.07441","81.07441","81.07441","81.07441","0","0","$SPXF"
"24101989","80.36806","80.36806","80.36806","80.36806","0","0","$SPXF"
"25101989","80.58505","80.58505","80.58505","80.58505","0","0","$SPXF"
"26101989","79.83235","79.83235","79.83235","79.83235","0","0","$SPXF"
"27101989","78.33163","78.33163","78.33163","78.33163","0","0","$SPXF"
"30101989","78.04269","78.04269","78.04269","78.04269","0","0","$SPXF"
"31101989","79.22672","79.22672","79.22672","79.22672","0","0","$SPXF"
"01111989","79.54411","79.54411","79.54411","79.54411","0","0","$SPXF"
"02111989","79.04124","79.04124","79.04124","79.04124","0","0","$SPXF"
"03111989","78.91295","78.91295","78.91295","78.91295","0","0","$SPXF"
"06111989","77.53443","77.53443","77.53443","77.53443","0","0","$SPXF"
"07111989","78.04562","78.04562","78.04562","78.04562","0","0","$SPXF"
"08111989","79.36860","79.36860","79.36860","79.36860","0","0","$SPXF"
"09111989","79.24538","79.24538","79.24538","79.24538","0","0","$SPXF"
"10111989","79.34144","79.34144","79.34144","79.34144","0","0","$SPXF"
"13111989","79.25287","79.25287","79.25287","79.25287","0","0","$SPXF"
"14111989","78.66019","78.66019","78.66019","78.66019","0","0","$SPXF"
"15111989","79.15976","79.15976","79.15976","79.15976","0","0","$SPXF"
"16111989","79.63367","79.63367","79.63367","79.63367","0","0","$SPXF"
"17111989","79.59936","79.59936","79.59936","79.59936","0","0","$SPXF"
"20111989","79.15900","79.15900","79.15900","79.15900","0","0","$SPXF"
"21111989","79.05088","79.05088","79.05088","79.05088","0","0","$SPXF"
"22111989","79.18532","79.18532","79.18532","79.18532","0","0","$SPXF"
"24111989","79.65212","79.65212","79.65212","79.65212","0","0","$SPXF"
"27111989","79.96883","79.96883","79.96883","79.96883","0","0","$SPXF"
"28111989","79.86708","79.86708","79.86708","79.86708","0","0","$SPXF"
"29111989","79.04031","79.04031","79.04031","79.04031","0","0","$SPXF"
"30111989","78.95544","78.95544","78.95544","78.95544","0","0","$SPXF"
"01121989","79.80376","79.80376","79.80376","79.80376","0","0","$SPXF"
"04121989","79.56881","79.56881","79.56881","79.56881","0","0","$SPXF"
"05121989","78.62807","78.62807","78.62807","78.62807","0","0","$SPXF"
"06121989","77.82162","77.82162","77.82162","77.82162","0","0","$SPXF"
"07121989","77.25866","77.25866","77.25866","77.25866","0","0","$SPXF"
"08121989","77.21509","77.21509","77.21509","77.21509","0","0","$SPXF"
"11121989","77.02497","77.02497","77.02497","77.02497","0","0","$SPXF"
