,Dates,Summary of Econ Projections,polarity,subjectivity,LM_POS,LM_neg,CB_POS,CB_neg,word_count
43,20050202,0,0.03936613844870727,0.2773978315262719,28,0,10,6,1631
44,20050322,0,0.1041125541125541,0.30101010101010095,20,0,20,4,1147
45,20050503,0,0.10165289256198343,0.30323691460055097,16,4,13,4,1115
46,20050630,0,0.07272727272727272,0.3159536541889483,16,0,9,4,1033
47,20050809,0,0.06822966507177035,0.324274322169059,21,4,16,4,1070
48,20050920,0,0.0707912457912458,0.38689674523007866,17,29,9,13,1387
49,20051101,0,0.0733451015004413,0.3452927331568109,15,8,9,13,1418
50,20051213,0,0.05595611285266459,0.37416405433646804,7,3,6,3,736
51,20060131,0,0.0492822966507177,0.3397129186602871,2,0,2,0,205
52,20060328,0,0.09581252081252081,0.47837995337995337,4,1,3,0,265
53,20060510,0,0.10085638998682478,0.5581686429512516,3,1,2,1,279
54,20060629,0,0.07936125965537733,0.3642216280451574,3,1,2,1,273
55,20060808,0,0.06487179487179487,0.4979487179487179,1,2,1,1,207
56,20060920,0,0.041,0.49899999999999994,0,1,1,0,195
57,20061025,0,0.04863636363636364,0.5740909090909091,0,2,1,0,198
58,20061212,0,0.04115384615384616,0.5242307692307693,0,2,1,0,208
59,20070131,0,0.050769230769230775,0.49538461538461537,2,0,1,0,162
60,20070321,0,-0.008749999999999996,0.5009375,0,2,0,2,152
61,20070509,0,0.020666666666666667,0.519888888888889,0,3,0,2,151
62,20070618,0,0.037843137254901967,0.48323529411764704,2,2,1,2,164
63,20070807,0,0.03063492063492064,0.40785714285714275,1,4,2,4,193
64,20070810,0,0.08571428571428573,0.5428571428571428,0,0,0,0,77
65,20070817,0,0.1152972027972028,0.370541958041958,2,0,1,0,178
66,20070918,0,0.07864219114219115,0.3489667383898153,2,5,1,2,244
67,20071031,1,0.035227272727272725,0.3090909090909091,2,7,2,4,289
68,20071211,0,0.0564935064935065,0.2811688311688311,2,5,1,2,267
69,20080122,0,0.05375,0.3375961538461538,0,5,0,6,235
70,20080130,1,0.04056818181818182,0.3814772727272727,0,3,1,2,234
71,20080311,0,0.05339903459372487,0.2986060399777214,4,5,0,0,1327
72,20080318,0,0.03633449883449883,0.3575466200466201,1,7,1,3,275
73,20080430,1,0.02044111061352441,0.3725951634572323,2,6,2,1,291
74,20080625,1,0.04593167701863355,0.3043788819875777,1,5,0,2,238
75,20080805,0,0.05565714285714287,0.32662857142857143,1,5,0,3,232
76,20080916,0,0.058015873015873014,0.36447089947089945,1,7,0,5,208
77,20081008,0,0.06249122807017546,0.3173333333333333,6,24,0,10,796
78,20081029,1,0.10547409579667646,0.3888563049853372,4,8,1,4,272
79,20081216,0,0.09999999999999999,0.19166666666666668,1,1,0,0,96
80,20090128,1,0.09060714285714286,0.41421428571428576,8,7,4,2,452
81,20090318,0,0.10102813852813854,0.38365800865800864,7,8,3,4,405
82,20090429,1,0.1014800514800515,0.3426319176319176,9,10,5,3,410
83,20090624,1,0.028273809523809527,0.3789806547619047,9,7,6,2,331
84,20090812,0,0.04013605442176871,0.3764965986394558,10,7,7,2,403
85,20090923,0,0.01743697478991597,0.3947478991596639,8,8,5,3,165
86,20091104,1,0.03568376068376069,0.34346764346764347,11,7,7,2,444
87,20091216,0,0.09516806722689075,0.37138188608776845,13,8,8,2,548
88,20100127,1,0.07987405106970326,0.38640441683919946,11,6,7,3,528
89,20100316,0,0.08456766917293233,0.4196616541353383,11,8,7,3,428
90,20100428,1,0.08259398496240603,0.4268984962406015,10,9,6,3,392
91,20100509,0,0.028333333333333335,0.2576666666666667,1,2,1,2,267
92,20100623,1,0.06629551820728291,0.43002801120448175,8,7,6,3,342
93,20100810,0,0.059900793650793656,0.4227050264550265,7,6,7,2,442
94,20100921,0,0.07090187590187591,0.3997691197691198,7,8,7,4,412
95,20101103,1,0.07331909318751424,0.3385223548381443,10,12,6,3,475
96,20101214,0,0.09215913715913718,0.3422613568767414,10,14,6,5,471
97,20110126,1,0.09994397759103643,0.3559599224305106,10,10,6,4,417
98,20110315,0,0.08240740740740743,0.34264601139601136,9,4,6,2,444
99,20110427,1,0.08865740740740742,0.3569978632478632,9,4,6,2,445
100,20110622,1,0.08137254901960783,0.37088989441930614,6,11,6,4,439
101,20110809,0,0.08125000000000002,0.40160256410256406,7,14,5,6,502
102,20110921,0,0.08018518518518519,0.3626353276353276,7,13,5,7,573
103,20111102,1,0.07039473684210527,0.34215587044534407,7,9,4,4,469
104,20111213,0,0.09436274509803924,0.3343702865761689,7,7,4,3,416
105,20120125,1,0.08247747747747751,0.3641961191961192,8,10,4,3,406
106,20120313,0,0.06313492063492067,0.38155372405372406,8,9,4,3,416
107,20120425,1,0.07600775193798452,0.3990369707811569,10,9,5,3,425
108,20120620,1,0.07003703703703706,0.3810740740740742,9,13,5,4,473
109,20120801,0,0.06525362318840582,0.37677536231884057,10,12,5,3,441
110,20120913,1,0.10340425531914894,0.4129078014184397,13,12,6,5,540
111,20121024,0,0.13732026143790851,0.41267973856209145,13,12,6,5,526
112,20121212,1,0.11021756978653531,0.3511535303776684,13,12,6,5,658
113,20130130,0,0.1115859564164649,0.3394430992736077,11,11,5,6,617
114,20130320,1,0.11685230024213077,0.3422074253430185,12,9,6,3,615
115,20130501,0,0.12972431077694238,0.3442731829573935,12,8,6,3,641
116,20130619,1,0.13628415300546448,0.36030054644808746,12,10,6,3,668
117,20130731,0,0.12480225988700566,0.31432203389830504,12,10,5,3,672
118,20130918,1,0.09572463768115944,0.3012560386473429,16,12,8,3,773
119,20131030,0,0.10448529411764708,0.30568627450980385,14,11,8,3,752
120,20131218,1,0.10554444444444444,0.3835666666666666,15,14,9,1,854
121,20140129,0,0.10594047619047622,0.3690595238095237,15,11,9,1,817
122,20140304,0,0.05,0.1,0,1,0,0,70
123,20140319,1,0.1015983606557377,0.3746311475409834,15,11,9,3,868
124,20140430,0,0.10238536155202824,0.39033950617283936,15,8,9,2,801
125,20140618,1,0.099125,0.39170833333333316,16,5,10,1,788
126,20140730,0,0.11543650793650793,0.41154761904761883,17,10,9,1,830
127,20140917,1,0.10764285714285715,0.40860714285714267,19,9,9,1,883
128,20141029,0,0.06734800838574424,0.4012054507337526,14,10,6,2,697
129,20141217,1,0.07574404761904763,0.4001488095238095,13,10,8,1,713
130,20150128,0,0.07892316017316017,0.3576569264069265,13,10,6,0,549
131,20150318,1,0.08599896480331264,0.34428053830227745,13,9,7,1,566
132,20150429,0,0.12161111111111113,0.36755555555555564,9,10,6,0,543
133,20150617,1,0.10179924242424243,0.34924242424242435,11,5,7,0,528
134,20150729,0,0.10116279069767443,0.3251937984496125,11,6,8,0,522
135,20150917,1,0.099,0.32566666666666677,11,8,8,1,571
136,20151028,0,0.10833333333333334,0.29687500000000006,10,7,7,0,562
137,20151216,1,0.051781970649895176,0.3145702306079664,10,7,7,1,576
138,20160127,0,0.03934294871794871,0.34086538461538457,9,10,4,1,548
139,20160316,1,0.04529320987654321,0.3223765432098766,10,6,3,1,560
140,20160427,0,0.05011217948717949,0.33169871794871797,10,7,5,1,565
141,20160615,1,0.0404891304347826,0.32056159420289854,9,11,5,2,532
142,20160727,0,0.048688271604938264,0.3479938271604939,8,8,3,1,556
143,20160921,1,0.04283625730994152,0.34488304093567257,9,7,4,1,595
144,20161102,0,0.03811728395061728,0.3430555555555556,9,6,3,1,588
145,20161214,1,0.038480392156862726,0.3446078431372549,7,5,2,1,526
146,20170201,0,0.041927083333333316,0.3390625,7,3,3,1,490
147,20170315,1,0.021306818181818187,0.29829545454545453,6,2,3,0,512
148,20170503,0,0.04374999999999998,0.33278985507246367,6,5,4,0,506
149,20170614,1,0.0267857142857143,0.31994047619047616,6,4,3,0,541
150,20170726,0,0.025625000000000016,0.3109375,6,3,3,0,496
151,20170920,1,0.02627551020408164,0.34591836734693876,7,7,3,1,524
152,20171101,0,0.024728260869565227,0.3304347826086956,6,6,2,2,497
153,20171213,1,0.04668560606060604,0.3106060606060606,6,5,4,1,473
154,20180131,0,0.040345528455284545,0.3126016260162602,6,1,3,0,408
155,20180321,1,0.05914855072463767,0.3420289855072463,9,1,3,0,435
156,20180502,0,0.06313405797101448,0.3601449275362319,7,1,2,0,408
157,20180613,1,0.08002450980392156,0.2965686274509804,6,2,3,0,312
158,20180801,0,0.09297619047619048,0.319047619047619,7,1,1,0,299
159,20180926,1,0.0779040404040404,0.3085858585858586,6,1,1,0,283
160,20181108,0,0.0779040404040404,0.3146464646464646,6,2,2,0,295
161,20181219,1,0.07817982456140352,0.2916666666666666,6,1,2,0,323
162,20190130,0,0.08942307692307692,0.29850427350427344,5,1,3,0,319
